,videoId,textDisplay,textOriginal,authorDisplayName,authorProfileImageUrl,authorChannelUrl,canRate,viewerRating,likeCount,publishedAt,updatedAt,authorChannelId.value,comment_id
0,ZyI78RxwglM,They don&#39;t like it when the shoe is on the other foot.,They don't like it when the shoe is on the other foot.,Jean Vige',https://yt3.ggpht.com/ytc/AL5GRJUvraOPqUcuxVD9JNust0M7J9rsyCGwbtT7bw-rGbloPM5ZONdMeqy0blZ6aXTf=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC5TgmixJNJVibWfsW9SRRUQ,True,none,0,2022-12-22T22:44:18Z,2022-12-22T22:44:18Z,UC5TgmixJNJVibWfsW9SRRUQ,UgwkNPg3H8cGSwPhqRR4AaABAg
1,ZyI78RxwglM,Get F’d you work for the parents,Get F’d you work for the parents,Pistasheo,https://yt3.ggpht.com/ytc/AL5GRJXtQFBgjo4Pg0HsMt9ZlhgB9nKPjv5f-ZUwO5uIt0ugPxp8JZjuP4t5Nn61lIiF=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UC6zMYbDKDYWHWQykRT1MMfg,True,none,0,2022-10-22T12:45:56Z,2022-10-22T12:45:56Z,UC6zMYbDKDYWHWQykRT1MMfg,UgywjfXmzeInNEOFjHd4AaABAg
2,ZyI78RxwglM,Parents are in charge of our children.. not the school board.,Parents are in charge of our children.. not the school board.,Joel Rotiago,https://yt3.ggpht.com/ytc/AL5GRJUvQTVcrAvmtwHHWK1uajhM3O1221AB9qgR8xkZKrZ3pW8KC1jeXE6-xxFtXy4q=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCSmstAcjrGwhNZxOH0MJGQg,True,none,0,2022-10-12T00:30:10Z,2022-10-12T00:30:10Z,UCSmstAcjrGwhNZxOH0MJGQg,UgzutZMAOidF37Z6iUh4AaABAg
3,ZyI78RxwglM,"@cbsnews the fact is you are pedophiles, and should be locked up for child abuse, you liberals make me sick","@cbsnews the fact is you are pedophiles, and should be locked up for child abuse, you liberals make me sick",human sign,https://yt3.ggpht.com/SaagugnJbEOS3nCkk2N0A3_9NeZhATW9h_5c1qjiZX9yBgOC3KUZ6mUdmS6C_MHzBYft3H3WJA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCxPAZRkGNmhPoE5pz7qmdbA,True,none,0,2022-09-04T11:41:40Z,2022-09-04T11:41:40Z,UCxPAZRkGNmhPoE5pz7qmdbA,UgxKbJ22alDWu2M42Mp4AaABAg
4,ZyI78RxwglM,"When you are indoctrinating and screwing with kids (sometimes literally) than yeah, don´t be surprised that the pitch forks come out.","When you are indoctrinating and screwing with kids (sometimes literally) than yeah, don´t be surprised that the pitch forks come out.",praapje,https://yt3.ggpht.com/ytc/AL5GRJXsrt7rb5c-LZ-xIos2NzfHRHjJjH0VPbsXhw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCMxpfalbAdCrXZWlKv-wOtg,True,none,0,2022-08-27T03:00:12Z,2022-08-27T03:00:12Z,UCMxpfalbAdCrXZWlKv-wOtg,UgxPJ5ZZjud5Q3xbAhl4AaABAg
5,ZyI78RxwglM,CBS “News” is GARBAGE!,CBS “News” is GARBAGE!,Reality Check,https://yt3.ggpht.com/ytc/AL5GRJUf8W2muQbpwbXGyHz2FbB9SHba9vkS6WI26oEARQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCqRymuQHWAO8uOcPDb9Vj8g,True,none,0,2022-08-26T01:58:11Z,2022-08-26T01:58:11Z,UCqRymuQHWAO8uOcPDb9Vj8g,Ugxs9-9Ai5YCbPYLh_h4AaABAg
6,ZyI78RxwglM,"She was &quot;harassed&quot; and we should feel pity? How about the parents who lost their jobs? How about the people damaged from the jibbyjab? How about the long term psychological/health damage to our kids? Yeah, lets feel sorry for the self centred POS who believes this is about her.","She was ""harassed"" and we should feel pity? How about the parents who lost their jobs? How about the people damaged from the jibbyjab? How about the long term psychological/health damage to our kids? Yeah, lets feel sorry for the self centred POS who believes this is about her.",Pat Rec,https://yt3.ggpht.com/ytc/AL5GRJUUCNGDNUyDPTQAlcFFKexCIENJgrkFaGvrid0s=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCu_A-D_kKh7BagTeRKNFB2g,True,none,0,2022-07-29T07:45:16Z,2022-07-29T07:45:16Z,UCu_A-D_kKh7BagTeRKNFB2g,UgyA2kI3UYLwUOAh6r14AaABAg
7,ZyI78RxwglM,waaaaah,waaaaah,J Ballz,https://yt3.ggpht.com/ytc/AL5GRJXyyOB_rcBE4Lr27MU9o539K8L4PUSR2zFGvw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCZKmKsDswawWsAlMXCRARvw,True,none,0,2022-02-26T08:30:49Z,2022-02-26T08:30:49Z,UCZKmKsDswawWsAlMXCRARvw,UgwZsW_gtZ1Styy6gch4AaABAg
8,ZyI78RxwglM,If you are a Democrat you should not be on a school board. Period.,If you are a Democrat you should not be on a school board. Period.,M R,https://yt3.ggpht.com/ytc/AL5GRJVlgTNn0sMMYN9A4iufhGHXQv6tDidvtltfB5cGQg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCtcs0oaxIrH_pLNLRiQ7h0A,True,none,0,2022-02-24T22:54:01Z,2022-02-24T22:54:01Z,UCtcs0oaxIrH_pLNLRiQ7h0A,UgyxgJDiditktCKgZz14AaABAg
9,ZyI78RxwglM,So informing someone on how well they are doing their job is a threat. How many threats does the school send to parents about their childrens progress every year?,So informing someone on how well they are doing their job is a threat. How many threats does the school send to parents about their childrens progress every year?,Siggy Retburns,https://yt3.ggpht.com/ytc/AL5GRJXfKxCg6W7yQD5Nvwwl5OGM3rOMR6uE9r-xRb-qhg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCgl3E8VQ730FVEBaME3no0g,True,none,4,2022-02-08T17:04:46Z,2022-02-08T17:04:46Z,UCgl3E8VQ730FVEBaME3no0g,UgxjAfHaRmjiZ212z714AaABAg
